time,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,area_19,area_20,area_21,area_22,area_23,area_24,area_25,area_26,area_27,area_28,area_29,area_30,area_31,area_32,area_33,area_34,area_35,area_36,area_37,area_38,area_39,area_40,area_41,area_42,area_43,area_44,area_45,area_46,area_47,area_48,area_49,area_50,area_51,area_52,area_53,area_54,area_55,area_56,area_57,area_58,area_59,area_60,area_61,area_62,area_63,area_64,area_65,area_66,area_67,area_68
0,1,188,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,232,149,176,79,39,82,59,43,131,68,54,249,173,89,71,43,214,86,38,44,117,96,103,280,74,103,60,88,169,54,151,114,96,212,96,114,105,159,99,254,85,150,119,105,104,393,76,94,89,107,80,14,99,101,138,286,128,95,80,74,168,103,94,38,65,119,37
600,1,236,164,263,97,33,101,57,40,194,79,50,409,172,96,79,38,290,74,35,39,177,106,121,303,67,130,53,101,274,54,137,117,106,285,111,113,108,265,158,359,103,138,131,118,115,474,70,103,114,119,77,9,116,121,136,294,169,87,76,65,276,144,94,43,58,146,49
900,4,314,223,480,91,34,161,48,37,249,100,50,504,209,110,89,37,332,76,37,40,226,123,144,424,65,118,54,136,387,53,133,133,121,336,165,113,41,299,180,408,120,129,244,130,161,547,71,128,140,159,69,53,139,117,133,329,220,72,78,75,221,163,81,38,53,157,31
1200,4,585,267,823,148,35,139,55,35,300,103,46,924,285,188,116,32,493,35,34,35,319,197,220,722,67,159,53,209,546,55,138,154,171,420,117,108,111,519,273,583,212,134,282,215,303,718,60,175,208,234,69,67,138,271,137,520,245,117,102,71,476,129,86,51,75,216,37
1500,1,784,293,0,128,38,215,14,26,450,79,41,1223,315,287,78,36,828,0,32,36,433,213,346,732,72,253,53,214,815,46,116,364,347,585,291,111,0,621,361,663,238,137,402,250,411,1513,65,451,182,218,57,0,246,54,174,281,167,33,92,54,515,63,0,0,36,181,0
1800,4,931,434,0,226,32,341,32,28,805,120,48,1646,784,400,72,26,1537,0,13,38,681,322,470,1297,70,545,53,548,1157,50,122,497,377,1088,273,81,0,1103,564,1276,452,187,579,391,708,1923,58,462,497,442,77,0,305,280,357,615,416,79,136,149,1036,104,0,0,265,0,0
2100,0,2058,666,0,508,36,570,61,36,1302,184,51,3218,1349,720,465,40,2409,0,30,45,1409,711,574,0,70,0,56,918,2547,52,146,653,645,1428,865,111,0,2149,920,2156,777,218,1423,653,1145,2910,69,872,1014,861,70,0,478,390,1137,1453,401,57,141,112,2035,123,0,0,423,0,0
2400,0,2038,971,0,1242,43,1070,45,40,2093,175,51,4538,0,0,606,41,3499,0,44,69,2221,963,1187,0,73,0,60,1538,3634,62,118,1095,929,2830,1073,97,0,3466,1606,3287,1266,177,2054,1093,1896,3271,36,659,998,967,28,0,325,288,764,1162,1311,0,1,0,1846,0,0,0,344,0,0
2700,0,4655,1202,0,1569,32,1474,56,28,3034,215,51,0,0,0,1002,34,0,0,23,43,4228,1458,1992,0,53,0,50,2036,5745,0,124,1941,1609,4309,2557,104,0,5045,2693,5860,2455,618,2607,1582,3349,6117,86,2553,1976,2031,69,0,602,1388,3396,3438,2352,0,0,0,4845,0,0,0,1582,0,0
