,time_tracking_id,phase_num,xy_pos_idx,cross_phase_tracking_id,area,bb_height,bb_width,bb_x_left,bb_y_top,cX,cY,perimeter,main_image_name,timepoint,time_in_seconds
0,phase_1_xy4_col0,1,4,phase_1_xy4_col0,164.0,15.0,18.0,231.0,74.0,239.9512195121951,81.2439024390244,51.455843687057495,t01xy4,1.0,3600.0
1,phase_1_xy4_col1,1,4,phase_1_xy4_col1,68.0,9.0,9.0,218.0,257.0,222.02941176470588,260.94117647058823,27.313708305358887,t01xy4,1.0,3600.0
2,phase_1_xy4_col2,1,4,phase_1_xy4_col2,107.0,12.0,13.0,163.0,396.0,169.0373831775701,401.4018691588785,37.79898953437805,t01xy4,1.0,3600.0
3,phase_1_xy4_col3,1,4,phase_1_xy4_col3,74.0,10.0,10.0,380.0,401.0,384.8243243243243,405.63513513513516,29.55634891986847,t01xy4,1.0,3600.0
4,phase_1_xy4_col4,1,4,phase_1_xy4_col4,61.0,8.0,10.0,231.0,404.0,235.86885245901638,407.42622950819674,27.313708305358887,t01xy4,1.0,3600.0
5,phase_1_xy4_col5,1,4,phase_1_xy4_col5,77.0,10.0,11.0,309.0,555.0,314.012987012987,559.4415584415584,30.97056245803833,t01xy4,1.0,3600.0
6,phase_1_xy4_col0,1,4,phase_1_xy4_col0,191.0,17.0,20.0,216.0,71.0,225.4869109947644,79.38743455497382,59.35533845424652,t02xy4,2.0,7200.0
7,phase_1_xy4_col7,1,4,phase_1_xy4_col7,139.0,15.0,15.0,52.0,136.0,59.201438848920866,143.19424460431654,46.041630148887634,t02xy4,2.0,7200.0
8,phase_1_xy4_col1,1,4,phase_1_xy4_col1,96.0,10.0,12.0,203.0,255.0,208.65625,259.4375,33.55634891986847,t02xy4,2.0,7200.0
9,phase_1_xy4_col2,1,4,phase_1_xy4_col2,117.0,11.0,13.0,149.0,395.0,154.98290598290598,399.7692307692308,41.79898953437805,t02xy4,2.0,7200.0
10,phase_1_xy4_col3,1,4,phase_1_xy4_col3,101.0,11.0,13.0,365.0,399.0,370.91089108910893,404.019801980198,36.62741661071777,t02xy4,2.0,7200.0
11,phase_1_xy4_col4,1,4,phase_1_xy4_col4,67.0,9.0,11.0,217.0,402.0,222.07462686567163,406.0149253731343,32.38477599620819,t02xy4,2.0,7200.0
12,phase_1_xy4_col5,1,4,phase_1_xy4_col5,85.0,10.0,11.0,295.0,553.0,300.21176470588233,557.8,31.55634891986847,t02xy4,2.0,7200.0
13,phase_1_xy4_col0,1,4,phase_1_xy4_col0,159.0,16.0,20.0,215.0,72.0,225.18867924528303,79.30817610062893,70.76955199241638,t03xy4,3.0,10800.0
14,phase_1_xy4_col1,1,4,phase_1_xy4_col1,100.0,15.0,11.0,203.0,255.0,208.05,260.85,41.21320307254791,t03xy4,3.0,10800.0
