area,bb_height,bb_width,bb_x_left,bb_y_top,cX,cY,perimeter
70,9,11,1624,17,1628.8714285714286,21.17142857142857,34.97056245803833
118,12,12,2518,42,2523.728813559322,47.567796610169495,37.55634891986847
84,11,10,1115,95,1119.357142857143,100.14285714285714,31.55634891986847
69,10,9,153,109,157.15942028985506,113.6086956521739,28.727921843528748
72,11,9,354,111,358.31944444444446,116.19444444444444,29.55634891986847
69,11,8,733,156,736.8985507246376,160.8695652173913,29.313708305358887
5,3,3,2220,191,2221.2,192.0,6.2426406145095825
46,7,8,2364,212,2367.608695652174,215.02173913043478,22.485281229019165
43,7,8,1651,224,1654.5813953488373,227.02325581395348,21.313708305358887
69,9,9,1661,230,1665.0,234.0,27.313708305358887
61,9,11,2467,271,2472.4590163934427,274.62295081967216,29.79898953437805
111,13,11,1336,302,1340.855855855856,307.8198198198198,36.97056245803833
95,12,10,211,312,215.50526315789475,317.12631578947367,34.14213538169861
64,9,9,1476,354,1480.21875,358.265625,28.727921843528748
64,9,9,74,395,77.859375,398.9375,27.313708305358887
85,10,11,903,420,908.0470588235294,424.4823529411765,32.38477599620819
122,15,16,2347,445,2355.090163934426,452.76229508196724,58.870057225227356
73,10,9,1508,556,1512.054794520548,560.5342465753424,29.313708305358887
50,7,9,294,568,297.8,570.96,23.899494767189026
59,8,10,742,583,746.7118644067797,586.728813559322,26.727921843528748
55,8,10,2529,584,2534.109090909091,587.6727272727272,27.899494767189026
69,10,9,1019,588,1023.304347826087,592.3478260869565,28.14213538169861
59,9,9,2296,597,2300.3389830508477,601.3389830508474,26.727921843528748
51,8,8,158,636,161.52941176470588,639.5686274509804,23.313708305358887
61,9,9,262,652,266.1639344262295,655.8360655737705,27.55634891986847
373,31,23,1363,731,1373.3324396782841,747.3458445040214,108.22539567947388
34,6,7,137,783,139.85294117647058,785.4705882352941,19.071067690849304
212,21,16,2317,791,2323.8915094339623,801.2971698113207,63.94112491607666
62,9,10,1186,840,1190.4354838709678,843.741935483871,27.55634891986847
76,10,10,1350,848,1354.6052631578948,852.2105263157895,30.727921843528748
59,9,8,1444,850,1447.4915254237287,854.0508474576271,26.485281229019165
80,9,11,418,878,422.9875,882.2125,30.727921843528748
131,13,14,1098,879,1104.0381679389313,885.1374045801526,40.62741661071777
66,9,10,2176,931,2180.2272727272725,935.0757575757576,29.55634891986847
111,15,10,2081,952,2085.4234234234236,959.8918918918919,44.62741661071777
52,8,10,1702,1025,1707.0,1028.5576923076924,26.14213538169861
61,8,9,754,1061,757.7704918032787,1064.5573770491803,26.485281229019165
162,15,14,30,1140,36.376543209876544,1146.79012345679,45.21320307254791
111,12,13,2163,1156,2169.5045045045044,1161.4054054054054,39.21320307254791
154,13,18,938,1224,947.0,1230.357142857143,50.041630148887634
92,12,11,584,1228,588.9782608695652,1233.804347826087,34.38477599620819
135,12,19,822,1253,830.7777777777778,1258.1703703703704,57.11269783973694
31,6,6,424,1270,426.7096774193548,1272.7096774193549,17.656854152679443
143,18,13,330,1274,335.65734265734267,1282.3356643356644,54.041630148887634
81,10,10,338,1320,342.38271604938274,1324.6296296296296,30.727921843528748
93,12,11,1084,1404,1088.967741935484,1409.215053763441,36.38477599620819
77,10,10,1348,1439,1352.4025974025974,1443.7012987012988,30.14213538169861
1,1,1,571,1537,571.0,1537.0,0.0
96,12,10,882,1582,886.4270833333334,1587.59375,36.38477599620819
184,21,12,1163,1583,1167.8967391304348,1593.820652173913,56.870057225227356
37,7,7,484,1602,486.8918918918919,1605.027027027027,19.899494767189026
90,10,11,1899,1602,1904.0444444444445,1606.8444444444444,34.72792184352875
37,8,6,204,1639,206.3783783783784,1642.4324324324325,20.485281229019165
119,11,14,808,1642,814.4705882352941,1647.1176470588234,38.97056245803833
148,15,19,1241,1672,1249.6148648648648,1679.1554054054054,51.69848430156708
155,17,16,381,1758,388.2967741935484,1765.6,53.79898953437805
83,10,11,557,1762,561.7831325301205,1766.5180722891566,31.55634891986847
15,9,5,1098,1811,1100.2666666666667,1814.8,20.485281229019165
97,12,11,1063,1816,1067.7731958762886,1821.5773195876288,34.38477599620819
188,13,21,296,1831,306.6223404255319,1836.4521276595744,57.21320307254791
108,12,16,2348,1863,2354.7314814814813,1868.1203703703704,50.870057225227356
46,8,10,2315,1866,2319.717391304348,1869.5,26.97056245803833
221,18,19,706,1888,714.7466063348417,1895.2488687782804,64.87005722522736
93,10,14,1535,1898,1541.4516129032259,1902.3978494623657,35.21320307254791
36,7,7,373,1913,375.9166666666667,1916.2222222222222,19.899494767189026
94,11,12,610,1919,615.2765957446809,1924.2021276595744,34.38477599620819
110,11,14,733,1924,739.1727272727272,1929.0545454545454,38.38477599620819
75,10,11,2005,1943,2009.88,1947.5066666666667,30.38477599620819
7,3,3,612,1996,613.2857142857143,1997.142857142857,7.414213538169861
123,12,18,2172,1998,2180.162601626016,2003.9918699186992,46.62741661071777
230,22,19,2089,2046,2098.2391304347825,2056.695652173913,70.76955199241638
188,11,26,805,2053,816.1914893617021,2057.574468085106,67.11269783973694
6,3,3,1902,2061,1902.6666666666667,2061.6666666666665,6.828427076339722
47,7,9,807,2102,811.2553191489362,2105.063829787234,23.313708305358887
